VSync enabled
81 KTime diff: 20000, Avg = 19998
82 Time diff: 19985, Avg = 19996
82 KTime diff: 19997, Avg = 19998
83 Time diff: 19997, Avg = 19996
83 KTime diff: 19997, Avg = 19998
84 Time diff: 19993, Avg = 19996
84 KTime diff: 19999, Avg = 19998
85 Time diff: 26317, Avg = 20070<------ Not in time!
85 KTime diff: 19997, Avg = 19998
86 Time diff: 13713, Avg = 19996<------ Not in time!
86 KTime diff: 19998, Avg = 19998
87 Time diff: 19970, Avg = 19996
87 KTime diff: 19998, Avg = 19998
88 Time diff: 20003, Avg = 19996
88 KTime diff: 19998, Avg = 19998
89 Time diff: 19985, Avg = 19996
89 KTime diff: 19998, Avg = 19998
90 Time diff: 20011, Avg = 19996
90 KTime diff: 19998, Avg = 19998
91 Time diff: 19987, Avg = 19996
91 KTime diff: 19998, Avg = 19998
92 Time diff: 20010, Avg = 19996
92 KTime diff: 19999, Avg = 19998
93 Time diff: 19988, Avg = 19996
93 KTime diff: 19998, Avg = 19998
94 Time diff: 20006, Avg = 19996
94 KTime diff: 19997, Avg = 19998
95 Time diff: 19989, Avg = 19996
95 KTime diff: 19999, Avg = 19998
96 Time diff: 20010, Avg = 19996
96 KTime diff: 19998, Avg = 19998
97 Time diff: 19986, Avg = 19996
97 KTime diff: 19998, Avg = 19998
98 Time diff: 20007, Avg = 19996
98 KTime diff: 19999, Avg = 19998
99 Time diff: 19988, Avg = 19996
99 KTime diff: 19998, Avg = 19998
100 Time diff: 20010, Avg = 19996
100 KTime diff: 19998, Avg = 19998
101 Time diff: 19996, Avg = 19996
101 KTime diff: 19999, Avg = 19998
102 Time diff: 20003, Avg = 19996
102 KTime diff: 19997, Avg = 19998
103 Time diff: 19985, Avg = 19996
103 KTime diff: 19998, Avg = 19998
104 Time diff: 20011, Avg = 19996
104 KTime diff: 19997, Avg = 19998
105 Time diff: 19986, Avg = 19996
105 KTime diff: 19998, Avg = 19998
106 Time diff: 20026, Avg = 19997
106 KTime diff: 20000, Avg = 19998
107 Time diff: 19972, Avg = 19996
107 KTime diff: 19997, Avg = 19998
108 Time diff: 20006, Avg = 19996
108 KTime diff: 19997, Avg = 19998
109 Time diff: 19991, Avg = 19996
109 KTime diff: 19998, Avg = 19998
110 Time diff: 20007, Avg = 19997
110 KTime diff: 19998, Avg = 19998
111 Time diff: 19987, Avg = 19996
111 KTime diff: 19999, Avg = 19998
112 Time diff: 20007, Avg = 19997
112 KTime diff: 19997, Avg = 19998
113 Time diff: 19992, Avg = 19996
113 KTime diff: 19998, Avg = 19998
114 Time diff: 20003, Avg = 19997
114 KTime diff: 20000, Avg = 19998
115 Time diff: 19989, Avg = 19996
115 KTime diff: 19997, Avg = 19998
116 Time diff: 20014, Avg = 19997
116 KTime diff: 19999, Avg = 19998
117 Time diff: 19981, Avg = 19996
117 KTime diff: 19997, Avg = 19998
118 Time diff: 20005, Avg = 19997
118 KTime diff: 19998, Avg = 19998
119 Time diff: 19996, Avg = 19997
119 KTime diff: 19999, Avg = 19998
120 Time diff: 20004, Avg = 19997
120 KTime diff: 19998, Avg = 19998
121 Time diff: 19995, Avg = 19997
121 KTime diff: 19999, Avg = 19998
122 Time diff: 20004, Avg = 19997
122 KTime diff: 19997, Avg = 19998
123 Time diff: 19989, Avg = 19997
123 KTime diff: 19997, Avg = 19998
124 Time diff: 20006, Avg = 19997
124 KTime diff: 19998, Avg = 19998
125 Time diff: 20040, Avg = 19997
125 KTime diff: 19997, Avg = 19998
126 Time diff: 10283, Avg = 19920<------ Not in time!
126 KTime diff: 20003, Avg = 19998
127 Time diff: 29666, Avg = 19997<------ Not in time!
127 KTime diff: 19995, Avg = 19998
128 Time diff: 20007, Avg = 19997
128 KTime diff: 19998, Avg = 19998
129 Time diff: 19988, Avg = 19997
129 KTime diff: 19998, Avg = 19998
130 Time diff: 20005, Avg = 19997
130 KTime diff: 19998, Avg = 19998
131 Time diff: 10604, Avg = 19925<------ Not in time!
131 KTime diff: 20001, Avg = 19998
132 Time diff: 29398, Avg = 19997<------ Not in time!
132 KTime diff: 19996, Avg = 19998
133 Time diff: 19985, Avg = 19997
133 KTime diff: 19996, Avg = 19998
134 Time diff: 20006, Avg = 19997
134 KTime diff: 19998, Avg = 19998
135 Time diff: 19992, Avg = 19997
135 KTime diff: 19999, Avg = 19998
136 Time diff: 20008, Avg = 19997
136 KTime diff: 19998, Avg = 19998
137 Time diff: 19985, Avg = 19997
137 KTime diff: 19998, Avg = 19998
138 Time diff: 20007, Avg = 19997
138 KTime diff: 19997, Avg = 19998
139 Time diff: 19992, Avg = 19997
139 KTime diff: 19998, Avg = 19998
140 Time diff: 20003, Avg = 19997
140 KTime diff: 19998, Avg = 19998
141 Time diff: 19991, Avg = 19997
141 KTime diff: 19999, Avg = 19998
142 Time diff: 20010, Avg = 19997
142 KTime diff: 19998, Avg = 19998
143 Time diff: 19999, Avg = 19997
143 KTime diff: 19998, Avg = 19998
144 Time diff: 19986, Avg = 19997
144 KTime diff: 19998, Avg = 19998
145 Time diff: 19998, Avg = 19997
145 KTime diff: 19999, Avg = 19998
146 Time diff: 20015, Avg = 19997
146 KTime diff: 19997, Avg = 19998
147 Time diff: 19981, Avg = 19997
147 KTime diff: 19999, Avg = 19998
148 Time diff: 20000, Avg = 19997
148 KTime diff: 19998, Avg = 19998
149 Time diff: 20004, Avg = 19997
149 KTime diff: 19998, Avg = 19998
150 Time diff: 20026, Avg = 19997
150 KTime diff: 19998, Avg = 19998
151 Time diff: 19972, Avg = 19997
151 KTime diff: 19999, Avg = 19998
152 Time diff: 20000, Avg = 19997
152 KTime diff: 19997, Avg = 19998
153 Time diff: 19985, Avg = 19997
153 KTime diff: 19997, Avg = 19998
154 Time diff: 20008, Avg = 19997
154 KTime diff: 19999, Avg = 19998
155 Time diff: 19987, Avg = 19997
155 KTime diff: 19998, Avg = 19998
156 Time diff: 20025, Avg = 19997
156 KTime diff: 19998, Avg = 19998
157 Time diff: 19989, Avg = 19997
157 KTime diff: 19998, Avg = 19998
158 Time diff: 19983, Avg = 19997
158 KTime diff: 19997, Avg = 19998
159 Time diff: 20010, Avg = 19997
159 KTime diff: 19998, Avg = 19998
160 Time diff: 19981, Avg = 19997
