VSync enabled
160 Time diff: 19981, Avg = 19952
161 Time diff: 20018, Avg = 19952
162 Time diff: 25218, Avg = 19984<------ Not in time!
163 Time diff: 14781, Avg = 19953<------ Not in time!
164 Time diff: 19982, Avg = 19953
165 Time diff: 20017, Avg = 19953
166 Time diff: 19982, Avg = 19953
167 Time diff: 20017, Avg = 19954
168 Time diff: 19982, Avg = 19954
169 Time diff: 20017, Avg = 19954
170 Time diff: 19982, Avg = 19954
171 Time diff: 20017, Avg = 19955
172 Time diff: 19982, Avg = 19955
173 Time diff: 20017, Avg = 19955
174 Time diff: 19982, Avg = 19955
175 Time diff: 20017, Avg = 19956
176 Time diff: 19982, Avg = 19956
177 Time diff: 25239, Avg = 19986<------ Not in time!
178 Time diff: 14761, Avg = 19956<------ Not in time!
179 Time diff: 20017, Avg = 19957
180 Time diff: 19981, Avg = 19957
181 Time diff: 20017, Avg = 19957
182 Time diff: 19982, Avg = 19957
183 Time diff: 20017, Avg = 19958
184 Time diff: 19984, Avg = 19958
185 Time diff: 20015, Avg = 19958
186 Time diff: 19982, Avg = 19958
187 Time diff: 20016, Avg = 19959
188 Time diff: 19982, Avg = 19959
189 Time diff: 20018, Avg = 19959
190 Time diff: 19982, Avg = 19959
191 Time diff: 20017, Avg = 19959
192 Time diff: 25221, Avg = 19987<------ Not in time!
193 Time diff: 14779, Avg = 19960<------ Not in time!
194 Time diff: 19981, Avg = 19960
195 Time diff: 20017, Avg = 19960
196 Time diff: 19981, Avg = 19960
197 Time diff: 20017, Avg = 19961
198 Time diff: 19984, Avg = 19961
199 Time diff: 20015, Avg = 19961
200 Time diff: 19985, Avg = 19961
201 Time diff: 20019, Avg = 19961
202 Time diff: 19978, Avg = 19961
203 Time diff: 20016, Avg = 19962
204 Time diff: 19982, Avg = 19962
205 Time diff: 20016, Avg = 19962
206 Time diff: 19982, Avg = 19962
207 Time diff: 25240, Avg = 19988<------ Not in time!
208 Time diff: 14760, Avg = 19963<------ Not in time!
